Overall Rank,State,Crime,Crime Ranks
4,New Hampshire,1,1.0
20,Idaho,2,2.0
2,Vermont,3,3.0
8,Maine,4,4.0
7,New Jersey,5,5.0
5,Massachusetts,6,6.0
11,Virginia,7,7.0
19,New York,8,8.0
12,Connecticut,9,9.0
39,West Virginia,10,10.0
25,Wisconsin,11,11.0
17,Iowa,12,12.0
23,Rhode Island,13,13.0
13,Pennsylvania,14,14.0
33,Michigan,15,15.0
1,Wyoming,16,16.0
21,Maryland,17,17.0
15,Nebraska,18,18.0
9,Florida,19,19.0
26,Indiana,20,20.0
36,Kentucky,21,21.0
24,Ohio,22,22.0
3,South Dakota,23,23.0
22,Minnesota,24,24.0
16,Utah,25,25.0
18,Montana,26,26.0
6,North Dakota,27,27.0
38,Hawaii,28,28.0
32,Alaska,29,29.0
42,Arizona,30,30.0
14,Delaware,31,31.0
37,Illinois,32,32.0
29,North Carolina,33,33.0
46,Alabama,34,34.0
30,Nevada,35,35.0
48,California,36,36.0
27,Tennessee,37,37.0
28,Texas,38,38.0
49,Mississippi,39,39.0
35,Georgia,40,40.0
40,Missouri,41,41.0
34,Oregon,42,42.0
47,Oklahoma,43,43.0
41,Kansas,44,44.0
43,South Carolina,45,45.0
31,Colorado,46,46.0
10,Washington,47,47.0
44,Arkansas,48,48.0
45,New Mexico,49,49.0
50,Louisiana,50,50.0
