state,statelocaltax,StateLocalTaxRank
Alaska,0.00%,1.0
New Hampshire,0.00%,1.0
Montana,0.00%,1.0
Oregon,0.00%,1.0
Delaware,0.00%,1.0
Hawaii,4.44%,6.0
Wyoming,5.36%,7.0
Wisconsin,5.43%,8.0
Maine,5.50%,9.0
Virginia,5.75%,10.0
Michigan,6.00%,11.0
Kentucky,6.00%,11.0
Maryland,6.00%,11.0
Idaho,6.02%,14.0
Massachusetts,6.25%,15.0
Vermont,6.30%,16.0
Pennsylvania,6.34%,17.0
Connecticut,6.35%,18.0
South Dakota,6.40%,19.0
West Virginia,6.55%,20.0
New Jersey,6.59%,21.0
Iowa,6.94%,22.0
Nebraska,6.95%,23.0
North Dakota,6.97%,24.0
North Carolina,6.99%,25.0
Indiana,7.00%,26.0
Rhode Island,7.00%,26.0
Florida,7.02%,28.0
Mississippi,7.07%,29.0
Utah,7.19%,30.0
Ohio,7.24%,31.0
Georgia,7.40%,32.0
South Carolina,7.43%,33.0
Minnesota,7.48%,34.0
New Mexico,7.72%,35.0
Colorado,7.78%,36.0
Texas,8.20%,37.0
Nevada,8.23%,38.0
Missouri,8.33%,39.0
Arizona,8.37%,40.0
New York,8.52%,41.0
Kansas,8.66%,42.0
Illinois,8.82%,43.0
California,8.82%,43.0
Washington,8.86%,45.0
Oklahoma,8.98%,46.0
Alabama,9.25%,47.0
Arkansas,9.46%,48.0
Louisiana,9.55%,49.0
Tennessee,9.55%,49.0
